size,old,branchy,branchless,prefetch,careful,lowerBound,upperBound,equalRange,improvedLowerBound,improvedUpperBound,improvedEqualRange,inlineAsm,inlinePrefetch,alexandrescuLowerBound,alexandrescuUpperBound
456,25.0605,25.3045,8.2577,9.0624,8.7091,19.7134,18.4081,26.4567,7.6982,7.6423,13.8012,6.9470,6.5855,6.9827,6.9892
464,20.9390,18.8227,8.2606,9.0504,8.6448,19.5804,18.4778,27.6712,7.7037,7.6423,13.8205,6.2470,6.6020,6.3250,6.3150
472,21.1509,18.8759,8.2533,9.0559,8.6908,19.7840,18.5236,26.8511,7.6955,7.6405,13.8948,6.2443,6.5846,6.2764,6.2644
480,20.9811,19.0099,8.2587,9.0522,8.6559,19.9225,18.4227,27.1135,7.7340,7.6734,13.8921,6.2737,6.6213,6.2103,6.1856
488,21.1362,19.4016,8.2936,9.0549,8.6678,20.3371,18.5163,27.5345,7.7001,7.6394,13.7012,6.2443,6.5965,6.1755,6.1673
496,21.3242,20.0574,8.2597,9.0476,8.6486,20.2684,18.6704,27.5299,7.7101,7.6414,13.5343,6.2452,6.6066,6.0332,6.0323
504,21.8902,19.8785,8.2587,9.0531,10.8658,20.8325,19.6987,29.0830,7.6973,7.6377,13.6141,6.2489,6.5974,5.9701,5.9681
512,23.3956,20.3884,11.9918,10.5267,9.4725,20.8529,25.6526,31.7248,8.1156,7.6447,14.2530,6.2459,7.2165,6.6322,6.6151
520,21.4180,20.1604,9.5325,10.6391,10.1885,20.8165,18.9800,27.7770,9.8984,9.8418,16.4801,7.3022,8.4066,6.7297,6.7094
528,21.5195,19.7474,9.5346,10.6295,10.1874,20.6848,19.0636,29.3159,9.8975,9.8481,17.1833,7.2990,8.4131,6.9256,6.9254
536,21.7690,20.3659,9.5357,10.6305,10.1971,21.1118,19.2775,29.5182,9.8868,9.8632,17.2367,7.3097,8.4431,7.2038,7.1577
544,21.6715,22.3790,9.5303,10.6294,10.1863,20.7363,19.1630,29.3169,9.8845,9.8460,17.8295,7.3301,8.4120,7.2091,8.7834
552,21.6715,20.6014,9.5325,10.6305,10.1907,20.3498,19.2968,29.2806,9.8813,9.8525,18.3604,7.3343,8.4227,7.5098,7.4285
560,21.7325,19.8823,9.5303,10.6272,10.1885,20.9909,19.5120,28.8332,9.9016,9.8525,18.6086,7.3087,8.4152,8.5501,8.4515
568,22.1649,20.5030,9.5314,10.6229,10.1896,21.0069,19.5376,28.7850,9.8878,9.8535,19.2862,11.8933,9.5668,7.6692,7.5719
576,22.0493,20.4076,9.5314,10.6390,10.1917,21.1289,19.4648,29.4668,10.0601,10.1436,20.4890,7.3257,9.0958,8.3403,8.2226
584,29.8766,21.0583,9.5282,10.6273,11.0788,21.2199,19.4103,29.1446,9.8941,9.8557,19.3514,7.3193,8.4152,9.2852,9.1365
592,21.9413,20.8400,9.5367,10.6252,10.1928,21.2093,19.1844,29.2303,9.8878,9.8535,19.2914,7.3076,8.4195,9.9391,9.9456
600,22.0279,21.1097,9.5410,10.6316,10.1864,21.1482,19.5301,30.8270,9.8835,9.8578,19.4980,7.3215,8.5522,9.5967,9.5474
608,22.4367,21.3291,9.5335,10.6284,10.1917,21.4147,20.1433,30.0640,9.8803,9.8471,19.7174,7.3118,8.4088,10.3094,10.3426
616,22.4796,21.3120,9.5260,10.6241,10.1907,21.2948,20.1241,33.3782,9.8889,11.2629,19.7634,7.3000,8.4131,11.2308,11.1869
624,22.4967,21.5689,9.5270,10.5737,10.1446,21.3463,19.9935,32.9053,9.8397,9.8022,19.8533,7.2764,8.3746,11.4641,11.4706
632,23.7894,21.8556,9.5281,10.6348,10.2056,21.4586,20.3413,29.3384,9.8845,9.8428,20.2472,7.3130,8.4131,12.4754,11.7445
640,30.4374,32.8517,9.5314,10.7374,11.1163,23.1944,22.2686,29.6648,9.8374,9.7947,19.8223,7.2680,8.3756,11.9041,11.9285
648,22.7503,20.6270,9.4800,10.5737,10.1457,20.9717,20.2600,29.6583,9.8857,9.8492,20.1229,7.3119,8.4163,11.8944,12.7280
656,23.0093,21.0573,9.5325,10.5726,10.1436,21.4993,20.3082,30.0522,9.8685,9.8513,20.1412,7.3118,8.4227,11.5466,11.7306
