size,old,branchy,branchless,prefetch,careful,lowerBound,upperBound,equalRange,improvedLowerBound,improvedUpperBound,improvedEqualRange
1120,41.8940,34.0828,10.0562,15.4497,10.3889,30.9905,32.6678,37.5032,10.3796,11.0945,21.1292
1128,38.9077,29.0582,10.0715,11.6119,10.0206,27.2213,27.7975,31.3120,9.9995,10.0552,20.7793
1136,45.3658,37.8654,12.3810,12.5018,11.1637,27.2798,27.3628,32.4362,10.0621,10.1157,20.7805
1144,40.3684,32.8717,10.2764,26.9008,11.0690,30.2827,30.8212,32.5388,10.0287,13.3376,22.1808
1152,40.8510,29.4779,10.2440,11.5447,10.0430,29.0232,27.9641,30.6288,9.9760,10.0098,21.1150
1160,40.7461,29.9042,10.4835,11.5625,10.9801,28.6677,29.6936,38.6815,15.4255,12.0811,21.3318
1168,39.7526,30.8290,10.0748,11.8326,11.6521,32.9774,28.7312,30.8364,10.0303,10.0294,20.7687
1176,39.3428,28.5781,10.4406,11.6866,10.0126,28.0651,26.6897,29.7104,9.9512,10.7574,20.7773
1184,39.3237,29.3922,10.2584,11.8406,10.0756,27.2330,28.8208,31.5660,9.9724,10.0095,20.7625
1192,38.3411,28.4392,9.8499,11.6058,10.0316,27.9182,27.7899,35.1050,18.4915,18.9772,39.7888
1200,38.1444,27.3617,9.7086,11.5051,10.0240,27.3353,30.0026,36.4299,11.0538,11.8018,25.2227
1208,39.5709,28.3225,10.9991,11.6281,9.9879,29.3868,27.1848,40.9530,17.3344,12.7797,21.2163
1216,42.8828,26.9110,10.6638,11.6110,22.1702,32.1879,30.2070,33.2719,10.2347,10.0442,20.7365
1224,37.7809,28.7996,9.4816,11.5975,10.0383,27.6998,27.7837,33.0049,10.0018,9.9708,20.7284
1232,39.4034,26.2800,9.1853,11.7529,10.0475,28.9502,29.1223,33.6514,10.0342,10.0697,20.8107
1240,39.2983,29.6519,15.9578,11.6477,10.0892,28.9734,29.2267,44.8884,18.9408,17.2368,37.7510
1248,44.1780,32.5770,15.9841,11.9305,10.2988,29.3643,29.1626,32.9182,9.9750,10.4249,20.8336
1256,42.3531,29.7458,10.0764,11.6863,10.0203,27.4105,27.8668,32.1920,9.9808,10.0193,20.7906
1264,40.1096,35.4952,9.5854,18.4709,10.7197,27.5580,28.4840,32.6016,10.0663,10.0474,21.3865
1272,41.8313,28.3889,9.1794,11.5620,10.0133,30.6506,27.7117,31.7733,9.9763,9.9806,27.9735
1280,37.1478,32.3700,8.9865,12.2770,11.5002,29.5612,29.3331,31.0067,9.9625,10.0121,20.7284
1288,40.9944,30.8007,9.4092,14.1288,10.2521,30.0347,34.5406,43.4209,19.9319,16.3207,29.0004
1296,39.4148,27.8741,9.8717,11.7350,10.0410,27.3499,26.8300,31.3811,10.3862,10.0936,20.8099
1304,40.5551,28.1278,10.2180,11.6523,10.0140,27.5172,27.2545,33.0093,10.0319,10.0618,20.8298
1312,44.1567,28.0468,12.2184,12.9143,10.0356,43.8566,31.0919,31.9437,9.9818,10.0624,20.8073
1320,70.4053,25.9882,8.7214,11.6559,10.0205,30.8207,30.0936,48.3525,9.9641,10.0385,23.2769
1328,42.1931,28.1274,10.3201,11.5886,10.0502,29.6433,28.1759,31.8317,10.0240,10.0826,20.7817
1336,36.5236,44.4916,9.1118,16.9247,10.0867,29.0588,29.2455,33.0264,9.9814,10.0309,20.7985
1344,40.2778,27.9357,9.0615,11.4542,10.0334,28.3284,28.4313,32.4427,10.0267,10.0311,20.7893
1352,39.0488,28.3602,9.4277,11.6741,10.0156,30.4413,35.2312,38.2952,10.0122,10.0461,20.7708
1360,72.6014,25.8318,10.5459,11.5607,10.0450,29.2354,29.5714,36.0964,9.9598,9.9884,20.8967
1368,41.5608,28.0450,9.0569,11.6014,10.9563,29.1742,28.4918,33.2521,9.9198,10.0164,21.7944
1376,43.2838,29.9075,10.1036,11.4620,10.0483,28.5612,28.4203,33.8055,11.0720,11.2986,36.8452
1384,37.7709,28.4775,9.1110,11.7113,10.0667,29.0973,28.9810,33.0557,9.9844,10.0120,20.8074
1392,40.4060,38.5552,9.6658,20.6530,16.0656,29.3179,30.4293,45.9943,18.0825,10.9625,22.7050
1400,41.0680,30.7144,9.0602,36.6410,12.5604,33.1075,44.5073,51.4835,18.3973,18.2363,110.6252
1408,40.7626,30.1729,9.8579,11.6880,11.2825,29.3937,29.3193,32.9014,9.9724,10.0543,21.4614
1416,42.0450,27.6672,9.5796,11.9923,10.0652,30.7704,30.4882,32.1683,9.9708,9.9987,20.8064
1424,51.4939,32.8486,15.0256,19.9407,18.4729,40.4133,35.2302,36.1715,11.3628,10.4003,21.4755
1432,41.5966,30.1647,10.0924,11.6011,10.0187,30.4347,28.7467,34.4292,10.5900,10.6449,20.7755
1440,44.5604,31.0807,10.4340,11.4302,11.0887,30.2217,29.6193,33.1503,9.8921,9.9835,20.7690
1448,39.3323,32.0537,9.3134,11.5157,10.0142,29.8346,29.1321,32.6559,9.9764,9.9899,20.7722
1456,41.6366,31.2158,10.2852,12.6024,10.0217,29.0499,28.5856,32.8270,10.0255,10.0675,68.3027
1464,42.9938,29.0977,9.7367,11.5104,10.0140,29.1417,28.5336,45.7225,10.6200,10.0559,31.5157
1472,40.2155,28.7104,10.0192,11.5940,10.0132,30.5713,30.5896,39.1768,10.0065,9.9877,20.7759
1480,42.4122,30.4083,10.3135,11.4349,9.9954,28.8459,30.5160,35.5035,9.9580,10.0031,20.8254
1488,46.4072,28.4808,10.0548,11.4352,10.0228,31.6425,47.0997,43.1326,14.8262,21.8409,31.2582
1496,41.9141,46.8127,8.7493,14.8204,10.0724,32.0281,30.8829,38.9475,9.9803,10.0282,20.8240
