size,old,branchy,branchless,prefetch,careful,lowerBound,upperBound,equalRange,improvedLowerBound,improvedUpperBound,improvedEqualRange
473820,1.0000,0.5074,0.1912,0.2132,0.1985,0.5368,0.5441,0.9926,0.2059,0.2059,0.4118
476204,1.0000,0.8140,0.3023,0.3488,0.3140,0.8721,0.8605,2.2093,0.3256,0.3256,0.6512
478600,1.0000,0.8333,0.3095,0.3571,0.3214,0.9167,0.8929,1.6786,0.3333,0.3333,0.6548
481008,1.0000,0.8235,0.3059,0.3412,0.3176,0.8706,0.8941,1.6706,0.3176,0.3176,0.6471
483428,1.0000,0.8434,0.3133,0.3614,0.3253,0.8675,0.9518,1.6627,0.3373,0.3373,0.6747
485860,1.0000,0.8235,0.3059,0.3412,0.3176,0.8471,0.8824,1.6118,0.3176,0.3176,0.6353
488304,1.0000,0.8471,0.3059,0.3176,0.2941,0.8941,0.8824,1.6235,0.3059,0.3059,0.6000
490760,1.0000,0.8256,0.3023,0.3140,0.2907,0.9070,0.9535,1.6279,0.3023,0.3023,0.5930
493228,1.0000,0.7978,0.2921,0.2921,0.2697,0.8427,0.8427,1.6067,0.2809,0.2809,0.5618
495708,1.0000,0.8235,0.3176,0.3529,0.3176,0.8706,0.8588,1.6353,0.3294,0.4000,0.6588
498200,1.0000,0.8214,0.3095,0.3571,0.3214,0.8690,0.8929,1.6786,0.3333,0.3333,0.6548
500704,1.0000,0.8023,0.3023,0.3488,0.3140,0.8256,0.8605,1.5930,0.3256,0.3256,0.6395
503224,1.0000,0.9186,0.3023,0.3488,0.3140,0.8721,0.9070,1.6628,0.3256,0.3256,0.6512
505756,1.0000,0.8353,0.3059,2.6235,0.2941,0.9882,0.8824,1.7176,0.3059,0.3059,0.6941
508300,1.0000,0.8214,0.3095,0.3571,0.3214,0.8810,0.9167,1.6310,0.6190,0.3333,0.6667
510856,1.0000,0.6034,0.2241,0.2586,0.2328,0.6379,0.8017,1.1897,0.2414,0.2414,0.4741
513424,1.0000,0.8046,0.2989,0.3448,0.3103,0.9655,0.9195,1.5747,0.3218,0.3218,0.6437
516008,1.0000,0.8182,0.3068,0.3409,0.3068,0.8636,0.8864,1.6364,0.3182,0.3182,0.6364
518604,1.0000,0.6953,0.2031,0.2188,0.1953,0.5859,0.6172,1.1250,0.2031,0.2031,0.3984
521212,1.0000,0.8333,0.3095,0.3214,0.2976,1.0833,1.0476,1.6429,0.2976,0.2976,0.5952
523832,1.0000,0.8161,0.3103,0.3103,0.2874,0.8621,0.8736,1.5977,0.2989,0.2989,0.5862
526468,1.0000,0.8506,0.3333,0.3793,0.3448,0.8506,1.1379,1.6897,0.3678,0.3678,0.7241
529116,1.0000,0.8333,0.3111,0.3667,0.3333,0.8556,0.8444,1.5889,0.3444,0.3444,0.6889
531776,1.0000,0.8391,0.3218,0.3448,0.3218,0.8506,0.8621,1.5862,0.3218,0.6437,0.7126
534452,1.0000,0.8621,0.3218,0.3793,0.3448,0.8506,0.8736,1.6322,0.4253,0.3563,0.7126
537140,1.0000,0.8372,0.3256,0.3837,0.5116,1.0349,0.8721,1.6163,0.3605,0.3605,0.7209
539840,1.0000,0.8690,0.3333,0.7619,0.3571,0.8810,0.9048,1.6905,0.3690,0.3690,0.7381
542556,1.0000,0.8837,0.3256,0.3837,0.3488,0.8488,0.9535,1.6860,0.3605,0.3605,0.7209
545284,1.0000,0.8391,0.3218,0.3678,0.3448,1.1149,0.8736,1.8966,0.3218,0.3333,0.6437
548028,1.0000,1.3933,0.3146,0.4607,0.3371,0.8652,0.8764,1.6404,0.3483,0.3483,0.6966
550784,1.0000,0.8539,0.3146,0.3371,0.3034,0.8539,0.8652,1.8315,0.3146,0.3146,0.6292
553552,1.0000,1.9535,0.3256,0.3953,0.3256,0.8837,0.9302,1.6628,0.3256,0.3256,0.6512
556336,1.0000,0.8409,0.3182,0.3409,0.3068,1.1136,0.8750,1.6477,0.3523,0.3523,0.7045
559132,1.0000,0.8352,0.3187,0.3626,0.3297,0.8571,0.8242,1.5385,0.3407,0.4615,0.6264
561944,1.0000,0.8605,0.3256,0.3837,0.6860,1.6047,0.8605,1.6395,0.3256,0.3256,0.6512
564768,1.0000,0.8315,0.3146,0.3371,0.3146,0.8764,0.8652,1.5730,0.3146,0.3146,0.6292
567608,1.0000,0.8621,0.3218,0.3448,0.3103,0.8621,0.8851,1.6552,0.3218,0.3218,0.6437
570464,1.0000,0.8810,0.3452,0.3929,0.3571,0.8810,0.8810,1.6548,0.3690,0.3690,0.7381
